            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000, -2.322794078463145E+08,  6.882269211345196E+08,  7.770658101943481E+07,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000, -2.348214248376773E+08,  6.847632684822853E+08,  7.883347933356914E+07,
2451744.500000000, A.D. 2000-Jul-19 00:00:00.0000, -2.373483990397683E+08,  6.812557009584837E+08,  7.995532120120904E+07,
2451749.500000000, A.D. 2000-Jul-24 00:00:00.0000, -2.398600201170803E+08,  6.777040176724046E+08,  8.107198466220692E+07,
2451754.500000000, A.D. 2000-Jul-29 00:00:00.0000, -2.423559718755384E+08,  6.741080145037004E+08,  8.218334543664718E+07,
2451759.500000000, A.D. 2000-Aug-03 00:00:00.0000, -2.448359320861707E+08,  6.704674840577775E+08,  8.328927685368019E+07,
2451764.500000000, A.D. 2000-Aug-08 00:00:00.0000, -2.472995723026252E+08,  6.667822156206546E+08,  8.438964977782917E+07,
2451769.500000000, A.D. 2000-Aug-13 00:00:00.0000, -2.497465576722684E+08,  6.630519951133512E+08,  8.548433253266603E+07,
2451774.500000000, A.D. 2000-Aug-18 00:00:00.0000, -2.521765467405646E+08,  6.592766050458856E+08,  8.657319082174498E+07,
2451779.500000000, A.D. 2000-Aug-23 00:00:00.0000, -2.545891912483702E+08,  6.554558244708873E+08,  8.765608764666450E+07,
2451784.500000000, A.D. 2000-Aug-28 00:00:00.0000, -2.569841359218196E+08,  6.515894289367874E+08,  8.873288322211769E+07,
2451789.500000000, A.D. 2000-Sep-02 00:00:00.0000, -2.593610182545195E+08,  6.476771904405994E+08,  8.980343488780281E+07,
2451794.500000000, A.D. 2000-Sep-07 00:00:00.0000, -2.617194682817287E+08,  6.437188773803936E+08,  9.086759701705316E+07,
2451799.500000000, A.D. 2000-Sep-12 00:00:00.0000, -2.640591083461491E+08,  6.397142545075321E+08,  9.192522092204320E+07,
2451804.500000000, A.D. 2000-Sep-17 00:00:00.0000, -2.663795528549255E+08,  6.356630828787234E+08,  9.297615475540948E+07,
2451809.500000000, A.D. 2000-Sep-22 00:00:00.0000, -2.686804080274426E+08,  6.315651198079357E+08,  9.402024340811771E+07,
2451814.500000000, A.D. 2000-Sep-27 00:00:00.0000, -2.709612716334944E+08,  6.274201188182318E+08,  9.505732840339959E+07,
2451819.500000000, A.D. 2000-Oct-02 00:00:00.0000, -2.732217327213811E+08,  6.232278295935888E+08,  9.608724778657731E+07,
2451824.500000000, A.D. 2000-Oct-07 00:00:00.0000, -2.754613713354665E+08,  6.189879979307877E+08,  9.710983601057684E+07,
2451829.500000000, A.D. 2000-Oct-12 00:00:00.0000, -2.776797582227020E+08,  6.147003656914570E+08,  9.812492381692991E+07,
2451834.500000000, A.D. 2000-Oct-17 00:00:00.0000, -2.798764545275980E+08,  6.103646707543780E+08,  9.913233811204523E+07,
2451839.500000000, A.D. 2000-Oct-22 00:00:00.0000, -2.820510114750938E+08,  6.059806469681526E+08,  1.001319018385231E+08,
2451844.500000000, A.D. 2000-Oct-27 00:00:00.0000, -2.842029700407491E+08,  6.015480241043656E+08,  1.011234338412717E+08,
2451849.500000000, A.D. 2000-Nov-01 00:00:00.0000, -2.863318606076595E+08,  5.970665278113652E+08,  1.021067487281729E+08,
2451854.500000000, A.D. 2000-Nov-06 00:00:00.0000, -2.884372026094711E+08,  5.925358795688351E+08,  1.030816567250342E+08,
2451859.500000000, A.D. 2000-Nov-11 00:00:00.0000, -2.905185041588405E+08,  5.879557966433724E+08,  1.040479635245544E+08,
2451864.500000000, A.D. 2000-Nov-16 00:00:00.0000, -2.925752616605895E+08,  5.833259920453036E+08,  1.050054701290081E+08,
2451869.500000000, A.D. 2000-Nov-21 00:00:00.0000, -2.946069594087227E+08,  5.786461744868987E+08,  1.059539726863208E+08,
2451874.500000000, A.D. 2000-Nov-26 00:00:00.0000, -2.966130691665182E+08,  5.739160483421154E+08,  1.068932623191859E+08,
2451879.500000000, A.D. 2000-Dec-01 00:00:00.0000, -2.985930497289103E+08,  5.691353136081290E+08,  1.078231249468806E+08,
2451884.500000000, A.D. 2000-Dec-06 00:00:00.0000, -3.005463464663107E+08,  5.643036658689952E+08,  1.087433410994250E+08,
2451889.500000000, A.D. 2000-Dec-11 00:00:00.0000, -3.024723908489032E+08,  5.594207962617850E+08,  1.096536857236950E+08,
2451894.500000000, A.D. 2000-Dec-16 00:00:00.0000, -3.043705999503926E+08,  5.544863914455359E+08,  1.105539279810713E+08,
2451899.500000000, A.D. 2000-Dec-21 00:00:00.0000, -3.062403759301392E+08,  5.495001335733775E+08,  1.114438310361824E+08,
2451904.500000000, A.D. 2000-Dec-26 00:00:00.0000, -3.080811054925464E+08,  5.444617002682344E+08,  1.123231518362723E+08,
2451909.500000000, A.D. 2000-Dec-31 00:00:00.0000, -3.098921593225159E+08,  5.393707646025507E+08,  1.131916408806997E+08,
2451914.500000000, A.D. 2001-Jan-05 00:00:00.0000, -3.116728914957014E+08,  5.342269950825263E+08,  1.140490419800391E+08,
2451919.500000000, A.D. 2001-Jan-10 00:00:00.0000, -3.134226388622203E+08,  5.290300556373994E+08,  1.148950920042296E+08,
2451924.500000000, A.D. 2001-Jan-15 00:00:00.0000, -3.151407204024003E+08,  5.237796056143658E+08,  1.157295206191741E+08,
2451929.500000000, A.D. 2001-Jan-20 00:00:00.0000, -3.168264365530451E+08,  5.184752997797728E+08,  1.165520500111560E+08,
